No,표준ID,ARS-ID,정류장명,X좌표,Y좌표,비고,지번주소,도로명주소
7736,117900041,18839,어울샘.동산중앙교회,126.9117005818,37.451830181,,서울특별시 금천구 시흥동 247-19,서울특별시 금천구 탑골로 22
7737,117900040,18840,삼익APT.금강APT,126.907065461,37.4627235717,,서울특별시 금천구 시흥동 산 138-3,서울특별시 금천구 독산로50길 60
7738,117900039,18841,탑동초등학교.청담종합사회복지관,126.9140493801,37.4518750005,,서울특별시 금천구 시흥동 239-32,서울특별시 금천구 탑골로 44
7739,117900038,18842,산기슭공원B,126.9068039573,37.4639317515,,서울특별시 금천구 시흥동 8-17,서울특별시 금천구 독산로54길 31
7740,117900139,18843,안천초등학교,126.8881256699,37.4575384027,,서울특별시 금천구 독산동 1088-5,서울특별시 금천구 한내로 69-15
7741,117900138,18844,호남슈퍼,126.9157184402,37.4522114153,,서울특별시 금천구 시흥동 237-1,서울특별시 금천구 탑골로 60
7742,117900137,18845,구립독산도서관,126.9079179668,37.4672144587,,서울특별시 금천구 독산동 828-2,서울특별시 금천구 독산로54길 113
7743,117900136,18847,벽산3단지앞,126.9166899861,37.4526689668,,서울특별시 금천구 시흥동 1010,서울특별시 금천구 탑골로 71
7744,117900135,18848,해찬아파트,126.9072451691,37.4682411948,,서울특별시 금천구 독산동 938,서울특별시 금천구 독산로70길 96-5
7745,117900134,18850,구민문화체육센터,126.906815459,37.4701485004,,서울특별시 금천구 독산동 371-2,서울특별시 금천구 독산로78다길 51
7746,117900146,18851,한일유엔아이,126.8760762358,37.4853985065,,서울특별시 금천구 가산동 533,서울특별시 금천구 가산디지털2로 187
7747,117900133,18852,태영빌라,126.906495804,37.471726987,,서울특별시 금천구 독산동 산 89-122,서울특별시 금천구 독산로54길 219
7748,117900132,18853,남문교회,126.9060943201,37.4736343111,,서울특별시 금천구 독산동 산 89-122,서울특별시 금천구 독산로54길 263
7749,117900131,18854,문성중학교,126.9060092799,37.4756346993,,서울특별시 금천구 독산동 산 10-2,서울특별시 금천구 독산로54길 288
