,일반시설일련번호,기준년도,시설종류,시설명,전체집행연장,전체집행면적,미집행연장,위치정보,좌표정보(X),좌표정보(Y)
167,1127027,2015,유수시설,유수지,0,0,7353,흑석동 1-2,37.50951023,126.9644547
168,1127028,2015,유수시설,유수지,7741,7741,0,흑석동 105,37.50856741,126.9629645
169,1127029,2015,방수시설,방수설비,0,1052,0,흑석동 7-1,37.50860889,126.9651515
170,1127022,2015,종합병원,종합의료시설,561,24523,0,신대방동 395,37.4932384,126.9175228
171,1127017,2015,공공하수도중 간선하수관,하수도,180,410,0,대방동 80,34.93362402,128.0616588
173,1127020,2015,공공하수도중 간선하수관,하수도,408,2040,0,대방동 79-5,37.51456597,126.9320233
174,1127021,2015,공공하수도중 간선하수관,하수도,100,300,0,신대방동 362,37.4984729,126.9230918
175,1184309,2015,소공원,공원,0,0,0,사당동164-1일원,37.4874191,126.9746541
176,1184310,2015,소공원,공원,0,0,0,대방동 402-6일대,37.49941755,126.9232049
177,1184311,2015,소공원,공원,0,254,0,흑석동329-2(339-4),37.13807852,128.2428638
178,1184312,2015,소공원,공원,0,0,0,사당동1131,37.48539268,126.9712799
179,1184315,2015,소공원,공원,0,1869,0,상도동134-278일대(산64-23),37.4945095,126.95103
180,1184316,2015,소공원,공원,0,822,0,상도동296-6일대,37.49669356,126.9322164
181,1184317,2015,소공원,공원,0,1813,0,상도동174일대,37.5035426,126.9390047
182,1184318,2015,소공원,공원,0,537,0,상도동167-11,37.5031869,126.9412479
183,1184319,2015,소공원,공원,0,441,0,흑석동186-135,37.50918198,126.9578527
184,1184320,2015,소공원,공원,0,300,0,흑석동38-2일대,37.5054312,126.9642383
185,1184321,2015,소공원,공원,0,0,0,흑석동231-31일대,37.50454671,126.9605532
186,1184322,2015,소공원,공원,0,0,0,흑석동173-197일대(용봉정근린공원내부),37.51118066,126.9582872
187,1184323,2015,소공원,공원,0,0,0,흑석동173-148일대(용봉정근린공원내부),37.51057303,126.9580721
188,1184324,2015,소공원,공원,0,0,0,흑석동235-89,37.5034789,126.9565812
189,1184325,2015,소공원,공원,0,0,0,흑석동275-12(기타공원시설),37.5055017,126.9715944
190,1184326,2015,소공원,공원,0,0,0,흑석동275-13(기타공원시설,37.50547278,126.9719774
191,1184327,2015,소공원,공원,0,114,0,흑석동198-90일대,37.50910178,126.956313
192,1184328,2015,소공원,공원,0,1678,0,사당동181-376,37.49324012,126.9617962
193,1184329,2015,소공원,공원,0,1680,0,사당동181-221,37.49027131,126.9629553
194,1184333,2015,소공원,꽃담길 소공원,0,0,0,상도동25-3,37.5052387,126.9392533
195,1184330,2015,역사공원,공원(사육신),0,0,0,노량진동 152-3일대,37.51390965,126.9479224
196,1184331,2015,문화공원,공원,0,0,0,흑석동105일대,37.50856741,126.9629645
197,1184332,2015,연결녹지,녹지,0,3011,0,흑석동339-2일대,37.50105325,126.958752
198,1184257,2015,완충녹지,녹지,0,2269,0,흑석동140-1일대,37.51008831,126.9621377
199,1184258,2015,완충녹지,녹지,0,1936,0,사당동190-6,37.4894335,126.9616058
201,1184260,2015,완충녹지,녹지,0,1217,0,흑석동274,37.50543846,126.9709142
202,1184261,2015,경관녹지,녹지,0,2092,0,상도동36-1일대,37.5052719,126.9459914
204,1184263,2015,경관녹지,녹지,0,681,0,상도동55-170,37.5031401,126.9519907
205,1184264,2015,경관녹지,녹지,0,1567,0,사당동1047-14,37.47728769,126.9749743
