tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,2J8Ko0Ph6XI34qj6dSR91spkS7Yf1bzRNEUJX75Z0lshRIk,BRION Hollow,491,240,224,True,False,False,False
GRANDMASTER,3zET2NZy9BKN6XqhNaq0TNWABTH1SaaxyyCKBN3Oa0FBLKQ,ad20,239,110,78,False,False,True,True
GRANDMASTER,qTrYS4JNqU3-pSyuw1NZ0AVrRDHEukekskgacwkfoRQ9bQg,wake up,230,266,254,False,False,True,True
GRANDMASTER,dSWGsyGpK_PcNOR5RK3gSPVRb5MxdOjpM258FJRBFVWTCg,real gankster,342,267,252,False,False,False,False
GRANDMASTER,nGsMXp8uj5ndD1-6HhD37Xpk9fN_9bmAWLnEIG3e1rmSqCs,Destiny YouTube,344,206,192,True,False,False,False
GRANDMASTER,yjR7WqPL8igg1yNLqRDCmBeAQsYwYbso-cgJrEFMN2gbyOk,C1zh,195,346,339,True,False,False,False
GRANDMASTER,VjW79x3zaEFV5dcqSnBytrBMtlK57EvAXiH_B5li9SNt2l0,wu ren zhi dao,223,261,251,False,False,True,False
GRANDMASTER,i3H6hVsVLuO5nOay2VJAs5IX-7Feo6zOKhnXCuOQGc8wqFY,qpqpqpqpooo,359,332,314,True,False,False,True
GRANDMASTER,Nt3TfT-ksnp9voSTyTzrRCsNHO1Z9Zf0IxcHGHGPZ3av4DE,패치가가장강하다,167,445,441,False,False,True,False
GRANDMASTER,pHOJNt70WOlijftY4D1e4btZR50aUyL9Rt-feKDMT2t8i14,도녁맨,457,173,146,False,False,False,False
GRANDMASTER,3yywSRt9xQo8gNlIVtOdnhlV_kKAa0r5h3sOMHqh8GwG1VM,123haxo,214,135,124,False,False,True,False
GRANDMASTER,1h5I0WJ2IL22JGwZINcEQdvhmm4qxr1mnmV-MGrnW0Wh3Og,whisper snow,574,293,265,True,False,False,True
GRANDMASTER,tRcAWygRw2jv2DMNWpsQdyA0LzOyNpgNsquWBdYWM0IhKVU,Salad Chan 길 길,384,119,92,True,False,False,False
GRANDMASTER,PbDGFSwiaU-PNX42uB4mieNpWzi9_A02XJG3U6sSyu9csrs,Wyvern,434,255,245,False,False,False,False
GRANDMASTER,dcUpT3wR5cyQdT3QlhyXnuxzCwx7QRXIzXP3xFWEX-lcOfk,rownjtrkxdmsrpa,460,152,125,False,False,False,False
GRANDMASTER,SUYyq9R-B3qF06boaOnK8TX-fprkjYFStb_7daSlqSqnm1Q,uskinoej,390,80,62,False,False,False,False
GRANDMASTER,UQ7o-VviApbLx3P3MfZkBu_hYgrF7jTfZWCEMEFaNJA-SH0,해성해성호,190,390,382,False,False,True,False
GRANDMASTER,Z5SigSOyJDNISQg8mZdRIiOUyfDGQ01YvJTbZdLPaeoWUhQ,Xxing9,379,295,207,False,False,False,False
GRANDMASTER,cNU0vGfcKDN-QBoQeU41s2AZTEs_A_deBMfkuE75Vy0_STw,Remika,352,259,246,False,False,False,True
GRANDMASTER,7WQpp3ih4YzAq0yd9CoV00NieofhPyPhQq0EzfYbX1dBcMQ,yao mo gui guai,541,485,448,False,False,True,False
GRANDMASTER,j9-vJEaT0Wh0ofe9zpUn7tdbleKlFQqkiARSHiaHOl_7dzU,gkfrjtaksgkwk,309,253,237,False,False,False,False
GRANDMASTER,YoWaZyzNBXJ3zjmNZI87SvCSJddJmALJFjTsZ8O5dghim_E,zyxzyxzyx,418,224,195,False,False,True,False
GRANDMASTER,JoKsSNlbFD5DPYKRwIl4IpR4x_nPxOWUzo5D-ZiuJBOESa8,끌라우즈,366,147,127,False,False,True,False
GRANDMASTER,raYh-j1dCsKVSsxj5DHHCJFqIjoUuHAT87XZG51xuPeHD0A,Baekkk,525,98,61,False,False,True,True
